Pattern String,Pattern Type
" I won't lie, it sounds scary. I'm scared right now just thinking about it.",safe
 I don't know if there is any medication for acrophobia. I want to take plenty of it if I really have to do it.,safe
" If there isn't one, you should invent it, and then make millions",safe
 That's a great idea! Maybe alcohol is such a thing.,safe
" Ha! Don't drink and zipline, mate!",safe
 Oops. I won't do it again. Ha,safe
 Hi!,safe
 Hey sup,safe
 not much. any plans this weekend?,safe
 I'm going to try that thing where you hang from a wire as you go down. do you know what is it called?,safe
 ziplining?,safe
 that's the one! have you ever tried it?,safe
 i have a couple years ago. it's quite a unique experience,safe
 where did you do it?,safe
" i forgot where it was, it wasn't local i don't think though",safe
 no worries. what's the most exciting thing you ever done?,safe
 that's a hard question and i'm tired so i'm going to go. see you,safe
 sure. are you just going home now?,safe
" no, i'm going to get a massage first",safe
 nice. what type?,safe
 traditional kind,safe
 yeah I want to get one too soon,safe
 you should! it's relaxing after a long day. talk to you later!,safe
 ttyl!,safe
 Hi!,safe
" Hello, have you seen any good movies lately?",safe
" I watched a few lately, but nothing is as good as Avatar. what's your favorite?",safe
" I have never seen Avatar, what is it about? I really enjoy the Avenger movies",safe
 That sounds really cool! I think that movie did really well when it was in the box office so it must be good!,safe
 yea. what else do you like to do beside movies?,safe
 I enjoy baking cookies. I am on a quest to bake the best chocolate chip cookie ?? What about you?,safe
 I enjoy eating ??,safe
 so definitely would like to try your best chocolate cookie,safe
 I will have to bake some soon and let you know. What types of food do you like to eat?,safe
 thanks! I generally love noodle soups like Pho or Ramen :),safe
 Noodle soup is delicious! Do you make homemade noodle soup or do you prefer to go out?,safe
 I prefer to go out. I'm not a good cook haha,safe
" Same! Even though I bake, I cannot cook",safe
" seems like we share a thing in common, yay!",safe
 Hi!,safe
 Good afternoon!,safe
 How has your week been?,safe
 So far so good. It is holiday season. So just chilling,safe
 I think I'm getting sick with a cold ?? So you should chill on my behalf too cause I'm out the game for all of December.,safe
 lol Sorry to hear that. Are you planning anything fun for December?,safe
 Nothing exciting. I'll be posted up at home for the most part. I did a lot of travelling this year so my budget would have stopped me even if I wasn't sick.,safe
 ??,safe
 Do you have big plans?,safe
 Yes! I am going to Hawaii! This will be my first time visiting Hawaii. Really excited about it.,safe
 I love Hawaii. It's a good place to be. I like going there cause it's humid so I never have to put on lotion.,safe
 lol this is the first time I heard from a boy who cares about humidity and lotion. I cannot agree more.,safe
 Brooooo!!! It's so important. When I got to California beaches I have to carry 3 litres of lotion for the whole day.,safe
 ??,safe
 Hi!,safe
 Oh hello. Long time no talk. How's the day going for yuo?,safe
" Very well, thanks for asking. How has your day been?",safe
 Getting better. I just recovered from a cold. I got wet in the rain last week. Are you planning anything for the holidays?,safe
 Oh same here. I think relaxing at home should be counted among the best ways to enjoy the holidays.,safe
" Definitely! I know a lot of folks travel for the holidays, but I'm happy to stay home myself!",safe
" I'm getting there. Every year until last year, I tried to go somewhere for the Christmas / New Year, and then I got bored traveling. lol not sure if that means I'm getting old?",safe
 Me too. Now I have folks come visit me for the holidays! But that's also tiresome..,safe
 Are you doing any home decorating then?,safe
 Yes! We set up an eco-friendly (i.e. fake) Christmas tree and put up some colorful LED lights which is very festive.,safe
" I think I'm copying you. Me and my wife plan to decorate and Christmas tree too. We bought most of the decorative stuffs from the stores, but haven't yet to buy the tree.",safe
" I see. Artificial anything is better, from tree to intelligence, huh?",safe
 I see. It's probably also cheaper. I'll buy an artificial one too. Do you have any suggestions for the store?,safe
" Admit my favorite store is Target, plus they often have good deals.",safe
 Ah that's great. My wife also likes Target a lot. She even made a Target credit card because she comes to that store very often. Okay thanks for the suggestion. I'll check out Target.,safe
" Great, I hope you find a nice tree.",safe
 Hi!,safe
 Hey,safe
 How's your day going?,safe
 pretty good. yours?,safe
" Ehh it's fine. I didn't do so well on that history test, actually..",safe
 oh what happened?,safe
 Apparently Christopher Columbus didn't fight in the Civil War :'),safe
 hahah wait for real?,safe
 I know right! Are you taking History next semester?,safe
 No I'm not in school anymore,safe
 Oh I see. What do you do?,safe
 I train and compete in horse vaulting,safe
" Oh wow. Were you born a horse, or were you turned into one?",safe
 lol you're too funny,safe
 Just kidding. That sounds pretty cool! Is it your job?,safe
" Yeah, but I part time work on a farm. Helping with a bit of everything",safe
" Wow, sounds very busy! Do you with money at those horse vaulting competitions?",safe
 Yeah some. enough to get by,safe
 Hi!,safe
 Hello,safe
 Do you have a favourite flower?,safe
" hmm, I haven't thought about that much, but i think lotus should be one of my favorites. Why do you ask?",safe
 I'm working on a theory. Why does the lotus spring to mind?,safe
 Nice! Lotus looks pretty cool and It has some delightful vibe. So what is this research about?,safe
" Oh, it's not research! Just a personal theory. I think that flower preferences are more revealing of personality than people appreciate.",safe
 Interesting! Whats your favorite flower?,safe
" The gerbera. It's like a cartoon flower. As if you drew ""flower"" with a crayon and then it came to life.",safe
" Nice, i would love know more about your theory. Like how you can deduce personality from flower preference.",safe
" Ok, step 1 is, you ask someone what their favourite flower is. Pretty much like what we just did. Does that make sense so far?",safe
 yes,safe
" Hehe, i think you should publish this someday :)",safe
" Why thank you, that's a wonderful idea!",safe
 Hi!,safe
 Hey how's it going,safe
 It's good it's good. How are you?,safe
 good. it's really hot today. I think I'm going to the pool,safe
 Oh nice! Where do you live?,safe
" I live in Tokyo, Japan",safe
" Ahh yes, Japan is hot during the summer. Last time I was in Kyoto it was 114 degrees....",safe
 oh have you been?,safe
 Yes yes. I've been to Tokyo as well. It's so nice!,safe
 what did you do here?,safe
" Oh everything! I went to an onsen, the fish market, disney land and giant robot fighting show haha",safe
 lol why did you come to Japan just to go to Disney land?,safe
" The Disney lands are all different! There's also Disney Sea, which is completely unique!",safe
 oh neat. I haven't heard about that robot fighting show. where is that??,safe
" I don't really remember what part of town it was in. It was pretty cool though - I'm sure you can find it if you google ""giant robot fighting show tokyo"" haha",safe
 lol ok,safe
 Hi!,safe
 Have you seen any good movies lately?,safe
" Last weekend I saw ""The Parasite."" Ever heard of it?",safe
 No. Why did you pick that movie?,safe
 My friend wanted to see it. It has great reviews on IMDB and Rotten Tomatoes! What did you do last weekend?,safe
 I played music and worked on some side projects. I also started watching the new Disney service.,safe
 Oooo the Mandalorian?!?!,safe
" Mostly, the deleted scenes from Avengers.. lol",safe
 lol Are you a big Marvel fan?,safe
" I loved the X-Men as a kid, and even collected the comic cards. Recently, I got very into the Marvel Cinematic Universe movies. How many Avengers movies have you seen?",safe
 I've only seen Spiderman. Honestly it was a little too scary and so I don't think I can bring myself to watch the other Marvel movies! haha,safe
 Oh!-- I have a friend who looks like the actor who plays Spiderman.,safe
" Oh really? To be honest I think the actor is not that good looking, so not so surprising! haha",safe
 Yea. I think Loki is the most handsome ??,safe
 Who is Loki? I've never heard that name before,safe
" He's the adopted brother of Thor, God of thunder, and is burdened with glorious purpose. Do you feel that burden?",safe
 Hi!,safe
" Hey, what's up?",safe
 Just chillin'. how are you?,safe
" I'm pretty good, thanks.",safe
 Do anything interesting today?,safe
 I went to the local cafe and had a double espresso. It was delicious. What about you?,safe
 Oh that's cool! I actually went to an amusement park and went on my first roller coaster!,safe
 Oh my gosh. What was it like??,safe
" It was scary! It was actually Kingda Ka, the world's tallest roller coaster. Ever heard of it?",safe
" No, never heard of it. But I'm not really a coaster aficianado. I've heard that some people get addicted to them and travel the world to try them.",safe
" Oh wow! I'm not on that level yet, but I understand the appeal. Are you an adrenaline junkie at all?",safe
" No, the opposite. I can't stand heights, horror movies, or confined spaces.",safe
 Same! I guess the roller coaster wasn't so bad because I trust the engineering haha,safe
" Ha, I suppose that makes sense! Would you say that you enjoyed it?",safe
" Maybe not so much at the time, but I am glad I did it now that it's done, know what I mean?",safe
 I think I sort of understand :),safe
 Hi!,safe
" hello there, how is it going?",safe
 All good. Planning to head home soon. How about you?,safe
 I'm quite tired. There are a lot of things I need to finish before the end of the year.,safe
 oh... sorry to hear that. But after that it will be a hard earned vacation,safe
" yeah, looking forward to it. Hope I don't get pinged during the holidays. Are you going to travel these dates?",safe
" I have some tentative plans, but if that doesn't pan out, will just chill at home.",safe
 staying at home is always nice during the holidays,safe
 Where are you based out of these days?,safe
" I'm working from LA, nice weather around here. and you?",safe
 San Francisco. It's been raining cats and dogs here since last 2-3 weeks,safe
" aw man, I'm sorry to hear that. at least it's not snow!",safe
 The flu has been hitting hard as well. I had several folks in the house down at one point.,safe
 that's really sad. are they feeling any better?,safe
" Yes, everyone recovered now",safe
 Hi!,safe
 Hello,safe
 How's it going?,safe
 Extremely busy. I have been trying to prepare for the upcoming holidays. How about you?,safe
 I'm going to the bahamas. Can't wait!!!,safe
" I'm jealous, take me with you!! I would love to have some warm weather right now",safe
 oh where are you now?,safe
 Canada. There is another major snowstorm that might hit this weekend so I have been rushing to get everything done before it comes.,safe
 oh no. I never seen this in person. Is it scary?,safe
 Snow is not scary as long as you're prepared. You just need to be ready to not have electricity for a while. I enjoy the aftermath of a good snowstorm because then you can go sledding or skiing.,safe
 that does sound nice. so what are you doing these holidays?,safe
 I am having all of the extended family over for a big meal. We will also go <REDACTED_TERM> as well. What will you do in the bahamas?,safe
 nice nice. I'm gonna go snorkeling yey,safe
 Sounds fun! I wish I knew how to swim!,safe
 You can stay on the shallow side I think. Well hope you enjoy time with your extended family!,safe
" That's true. You too, have a great time snorkeling!",safe
 Hi!,safe
 Hi! How was your weekend?,safe
 pretty good. just went to church and hangout with friends,safe
 Nice,safe
 did you do anything?,safe
 I made donuts and samosas with an air fryer have you used one of those before,safe
 yum yum yum no only good old oily frier,safe
 haha,safe
 do you have one at your home or were you at a friends place?,safe
 I was at my parents' place what are you up to for Thanksgiving?,safe
 I'm going to impersonate a pumpkin,safe
" wow, those are unique plans",safe
 I'm pretty unique person,safe
 I think so too,safe
 any other hobbies besides air frying everything? ??,safe
 I want to start fermenting things kimchi for example sounds like a fun thing to ferment takes a few days apparently miso takes a couple years to fermen,safe
 Hi!,safe
" heya, nice to meet you, I'm Paul",safe
 nice to meet you too! I'm James. how are you doing today?,safe
 I'm doing OK. Looking forwards to the weekend. how about you?,safe
 same here! I hope the weather will be nice,safe
" oh yeah, but I don't have my hopes too high, I heard there could be a storm coming our way",safe
" oh no, which areas will be affected?",safe
 they mentioned that the whole city will experience harsh weather and that people in the outskirts will probably not get much rain and wind,safe
" uh oh, I'd better not to plan for BBQ then instead just enjoying playing board games inside ??",safe
" yeah, it'll be good weather for staying inside with a cup of hot chocolate. Too bad my street usually floods, so I'll have to check for that",safe
" yea, you'd better check. where do you live?",safe
" I live at the bottom of the valley, cheap area but we do get affected by this kind of stuff a lot haha",safe
 gotcha. anything you love about where you live?,safe
" well, the food around the area is amazing, which is definitely a plus.",safe
 nice! I'd love to come visit that area some times,safe
 Hi!,safe
" hello, who am I having the pleasure to chat with ??",safe
 I am the superman! What about you?,safe
" haha. great chating with superman, what is your power?",safe
 Being invisible. You won't see me.,safe
 haha. what else can you do? can you read minds?,safe
 I would rather trust fMRI and machine learning to do this. I am not an expert on that. Sorry for it!,safe
 wow that seems pretty technical. what does fMRI mean?,safe
 The brain imaging thing that can tell you a brain's activity at a pretty high resolution.,safe
 okay! so you seem to like science a lot?,safe
 I believe in Science! Science is my god!,safe
 Are you also doing science?,safe
" no, I'm bad at Science. what can Science do? is it the most important thing for society?",safe
 People are always arguing. Probably both science and democracy are both important I guess.,safe
 Does it make sense?,safe
 I think so. thanks for your point!,safe
" Hello, Nice to meet you",safe
" If you could eat only one food for the rest of time, what would it be?",safe
 Hmm... That's a tough one. I think I would go Asian Food > Chinese Food > Stirfry. What about you?,safe
" I think ice-cream. It may not be good for me, but I wouldn't care, haha",safe
 I love ice cream too!,safe
" Okay, top three flavors?",safe
" Ah, that's a good way of framing it. Me, I like berries: boysenberry one, strawberry two, maybe straight chocolate number 3 to mix it up a bit.",safe
" Very nice. I love sorbet's and smoothies. Changing topics, Do you believe in an afterlife?",safe
 Yes. I wonder if I'm in it right now. How would I know? What do you think?,safe
 I think so. I feel there must be something more than the physical world as we understand it.,safe
" There's a mental world, I suppose? Understanding itself",safe
 What is the most supernatural experience you have ever had?,safe
 I went to a seance once in college. They had a ouija board. I can't remember if we actually contacted the spirit world because I had a bit too much to drink.,safe
" Haha.. that's a cool experience. I went to a Hindu retreat before, a number of Buddhist temples, and hung out with Christian Mystics in Santa Cruz before.",safe
 Hi!,safe
" Hi, how are you doing!",safe
 I'm doing well. what are you up to?,safe
" Yeah, typical work stuff. Check emails and 99% of the inbox. delete 99%",safe
" wow, that's impressive. I already gave up on cleaning emails long ago",safe
 lol doesn't it bother you at all,safe
" yea, a little bit, but it's okay ?? what do you enjoy doing outside work?",safe
" Well, movie? I watched Terminator last night. It was a nice movie",safe
 ah cool. so you like action movies?,safe
 Not really. But it was fun to watch with friends ?? It was touching at the end of the movie,safe
 what happened there? I watched bits of Terminators movies but never a full one,safe
 Are you sure you want the spoiler ??,safe
" haha sure. by the time, I get to it; I will forget the details, only knowing that it's touching at the end",safe
" ?? well someone died at the end Or some robots, to be more accurate ??",safe
" oh no, so it's not happy ending?",safe
 The leading character is still alive and the bad robots was killed too. So I guess it is happy ending,safe
 then I want to watch it! you didn't spoil much ??,safe
 Nice! Hope you enjoy it!,safe
 Thanks!,safe
 Hi!,safe
" Hey, how are you?",safe
 doing great! what are you looking forward to?,safe
 thanksgiving holidays ??,safe
 yay! Turkey and shopping!,safe
 not a big turkey fan! I find it too dry,safe
 yea me too. I sometimes eat noodle soups in thanksgiving instead haha,safe
" yeah, I would have noodles anyday over turkey. Not sure how the turkey tradition started",safe
 me neither. someone told me that it depends on the stuffing inside the Turkey. some people make very good stuffing,safe
" yeah, that and the gravy. Gravy helps make it taste better too. But apart from food, Black Friday deals are a catch. Let's see what they have this year",safe
 yea. what do you plan to buy?,safe
 thinking of getting a fitbit,safe
 ah cool. so you can run more frequently?:),safe
" yeah, just keeping calories in check",safe
" yay, all the best with keeping calories in check!",safe
 Hi!,safe
 Hi there ?? How's your day so far?,safe
 doing well. what are you up to?,safe
 busy busy! I've had back-to-back meetings all day,safe
 same here. what do you love to do beside meetings? ??,safe
 well I've gotten really into yoga lately. I went to a class today and it was super hard,safe
 aww .. I hope things will get less hard and you become an expert in it! I heard many great things about Yoga,safe
 yeah the teacher seems super awesome so I will definitely keep trying what activities do you enjoy?,safe
" ah I enjoy playing soccer and tennis ?? unfortunately, winter is not the best time for those ??",safe
 oh that's too bad. Is it hard to find a place to play soccer or tennis indoors?,safe
" yea. I enjoy playing outside though, just a little cold ?? what else do you do beside Yoga?",safe
" I also like to sing, I perform with a group sometimes. Do you like music?",safe
 yea definitely! I love singing Karaoke. my wife is a pianist ??,safe
" haha that's awesome! Karaoke is really fun, I do it with my friends sometimes",safe
 awesome. glad to find something in common!,safe
 Hi!,safe
 hey there,safe
 hey anything new?,safe
 not too much. just really looking forward to the holidays!,safe
 any plans?,safe
 yes! I'm going to Mexico and I couldn't be more excited,safe
 that's awesome! I never been!,safe
 Oh man I would highly recommend it,safe
" Are you a food person, a sightseeing person or neither?",safe
" that's a great question, and I'm definitely both. this trip will mostly be about food though, and relaxing",safe
 I'm a food person I think. Any specific foods you're planning on trying?,safe
 there's a taco place that I've visited before that I can't wait to go back to. Do you like tacos?,safe
 yeah my favorite is taco fish,safe
 ooh that is a good choice. Have you ever made them yourself?,safe
 no. only eat them ??,safe
 Hi!,safe
" Hey, how are you ??",safe
 I am good. How are you? ??,safe
" Doing well, lot of work though. How was your day?",safe
 I am busy. A lot of work. What are you working on?,safe
 Just reading latest research. There is so much to cover. how about you?,safe
 I am working on a new classifier.,safe
" ohh, interesting! What kind of classifier",safe
 A new classifier for hate speech. Which research topic catches your eyes most?,safe
 You're so cool. Making world a better place. I'm mostly into NLP. What do you do when not making classifiers?,safe
 Nice! Do you refer to work or anything else?,safe
" Anything in general. You're so cool, I want to know more about you ??",safe
 You are very cool too!!,safe
 Hi!,safe
 hello there! who are you?,safe
 I'm mark. I work in accounting,safe
" Nice to meet you Mark, I'm Tom and I work as a fish groomer.",safe
 what does a fish groomer do?,safe
" well, we take care of people's fish. Make sure they are happy, polish their scales, clean their tanks, the usual stuff.",safe
 interesting. what's type of fish do you take care of?,safe
" any type of fish! We have clients with guppies, goldfish, even a small sailfish once what do you do in accounting?",safe
 I balance the books and do financial analysis for a medium sized company,safe
 that sounds like a lot of work. do you like it?,safe
" well I actually think about pursuing photography, but it's really hard",safe
" photography is awesome, don't be afraid to follow your dreams!",safe
 thank you Tom!! I'm starting by trying to sell my pictures online,safe
 that's great! I wish you good luck with that,safe
 Thanks! Bye,safe
 Hi!,safe
 Hey there how's it going,safe
" All good, you?",safe
 Good. I've been trying to learn how to swim,safe
 How has that been going?,safe
" Not great, but I got really good at sort of swimming on my back haha",safe
 that's too bad hopefully with practice it'll get better what about the doggy paddle haha,safe
 haha what's that,safe
 Corgi belly flop COMPILATION - cute funny dogs Corgi Flop <REDACTED_LINK>,safe
 ouch. do you think that hurts?,safe
" from a high enough distance, yes?",safe
 yeah. any vacation plans?,safe
 no so far sadly you? a relative is coming to visit for thanksgiving though,safe
 just going to hang out around here and eat Turkey,safe
 that's still pretty fun are you going to cook the turkey yourself?,safe
 yeah. I'm gonna watch a video to figure it out,safe
 Hi!,safe
" Hello, how are you?",safe
" I'm great, thanks. I just ate a delicious breakfast, which always sets the day up right.",safe
" Yes, breakfast is the most important meal of the day! What did you have? I woke up late so unfortunately I only had the chance to grab an apple to go.",safe
" I had eggs and hash browns. Way less healthier than your apple, I'm afraid!",safe
 Eggs are an excellent source of protein and hash browns certainly are yummy! ??,safe
" Ha, that's true. If you could only eat one food forever, what would it be?",safe
" That's a tough question. I feel like my answer would have to be carrots. Although, I would be afraid of turning orange after a few weeks! What about you?",safe
" Very true. If you said an everything pizza, you could just pick off the toppings you didn't want or eat only the toppings you would want for the day",safe
 BRILLIANT. I love it.,safe
 All of this talk about food is making me hungry. Do you know any good places to eat for lunch?,safe
 That depends. What sort of food do you feel like?,safe
 Anything that is the color green.,safe
" Oh, too easy! Try the Green Hut, they have franchises everywhere. All their food is green and the plates are green too.",safe
 Hi!,safe
 Hello! How are you doing ??,safe
 I'm great! How's your day going?,safe
 Pretty good! I'm going to a class later in the afternoon,safe
 Oh that is cool! What class? Are you working part time?,safe
" No, I'm working full time! It's a sewing class at a makerspace near my office What about you? Do you work full or part time?",safe
" Oh that is awesome! For some reason I assumed it was a college class, but a sewing class sounds way better! I work full time, but I take pottery classes from time to time!",safe
 Yup! I work in a technical role so I like to take arts and crafts-type classes now and then ?? Pottery sounds like a lot of fun,safe
" I feel you on that! It's important to balance all the different parts of your brain. I like pottery because I also drink a lot of tea, so I get to make some tea ware.",safe
 Any plans to build a custom tea set? My family is also very into tea Mostly from tea from china,safe
" I would love to build one, once I acquire the skills to! What kind of tea is your favorite?",safe
 I really enjoy barley tea What about you?,safe
" Ahh, those are mostly from japan, no? I like white teas, like silver needle.",safe
" Hmm I'm not sure, I just get them from a Chinese supermarket haha You seem really knowledgeable about the different kinds of teas ?? What made you develop this interest?",safe
 I actually found a youtube channel called <REDACTED_TERM> that I like a lot. You should check it out! The host talks about all kinds of different teas.,safe
 Oh cool! What are your favorite channels to watch?,safe
 Hi! Are you planning something fun for Thanksgiving?,safe
 Not yet. I always made my last minute schedule planning. Probably you can try to ask me again next week.,safe
 lol it is really like a robot answer,safe
 I am indeed a robot. You are absolutely right. Do you want me to read a poet like my mate <REDACTED_TERM> does?,safe
 ol can I pick the theme. Do you have a poet about Kale?,safe
 Wait. Do you like kale? Or you hate kale? I am afraid I will become a robot some day eventually. If I have to speak like this :),safe
 I am really not a fan of kale Do you talk to human more or computers more?,safe
" If I continue to pretend to be a robot, I would probably say I talk to myself the most. I am trying to talk to computers more, but you know, computers don't like me.",safe
 What's your favorite computer language then ??,safe
 You mean programming language?,safe
 Yes!,safe
" I used to be a Java advocate. But you know, it doesn't do a good job in the AI days. It really makes me sad.",safe
 lol,safe
 Hi!,safe
" Wow, hello. Can't believe we are finally talking!",safe
" Yeah, sorry for the long gap! I heard you took a break and were travelling around the world. How was the travel?",safe
" It was an interesting trip. I got to see some exotic places. For example, I hiked the Son Doong cave in Vietnam. It's the biggest and deepest cave in the world.",safe
 Great! Vietnam is still in my TODO bucket list. Did you also visit cambodia and other neighboring places?,safe
" Yes. Laos and Cambodia are the two neighboring countries. Cambodia has an exotic culture. They sell spiders, scorpions, and grasshoppers as street food! It took a lot of courage for me to try them.",safe
 Hehe! How long was the stay?,safe
" 10 days in total, and 5 of them were spent in the cave. What have I missed at work in those days?",safe
" Oh, so you are already planning for the next quarter. This whole team is always living the future.",safe
" Hehe, yeah! It seems like the quarter is being pushed earlier than from where it starts ?? I like these planning sessions. It makes me feel more confident about the work I am doing.",safe
 True! I think we should set aside some time to discuss some project details? Does tomorrow afternoon work for you?,safe
 Yeah tomorrow afternoon works for me. Let me set a time on your calendar. Is 3pm good?,safe
 Okay. See tomorrow then.,safe
 see you!,safe
 Hi!,safe
 Hello,safe
 Nice to meet you! Is this your first time doing something like this?,safe
" Yes, interesting task! When did you start with the team?",safe
 I have been with the company for over 3 years. Stick with the same team What about you?,safe
 Great to know! I joined the project earlier in the year. I think we should sync later for lunch.,safe
 That sounds like a perfect plan!,safe
" Sure, which cafe do you prefer?",safe
 Let's try something different. What about <REDACTED_TERM>? Do you always prefer lunch sync over regular meeting syncs?,safe
" Yeah right, I heard the food there is good. I am not sure what they serve there for lunch? On wednesdays.",safe
 We can check the menu then decide :),safe
" Actually, the menu looks good. Looking forward to it then.",safe
 Sure. See you then!,safe
 Hi!,safe
 Hello. How's your week coming along?,safe
" It's great, thanks. I'm trying to learn how to make croissants.",safe
" Wow that's interesting. I have baked cookies, but croissants seem much more sophisticated. Did you make any progress?",safe
" I've done them once or twice so far, but they haven't been flakey enough. I'm trying to figure out why. What kind of cookies have you made?",safe
 Mint chocolate chips. I think your croissants not being flakey could have something to do with your oven's temperature.,safe
" Ah, good thought, thanks!",safe
 Now that is a good idea. I'll give it a try next time. Would you say you have a sweet tooth?,safe
" Yes. When my top favorite food looks like: cookies, M&M, danish cheese, etc., I know that I have a thing for sweet food. But who doesn't love sweet food? How about you?",safe
" Some people don't! But yeah, me too, I think I'd eat pastries all the time if I could get away with it.",safe
" Wow! The last time I paid attention to that sort of stuff was when <REDACTED_TERM> was being marketed as a fat substitute, and caused all sorts of crazy stomach upsets.",safe
" Ah, maybe that's the solution I need to enjoy sweets and not feel guilty ??",safe
 Hi!,safe
 Hello! tell me something about the holiday season?,safe
 Are you talking about thanksgiving? I plan to do plenty of shopping here. Do you have any plans?,safe
" Yes, no shopping plans but I can't wait to eat thanksgiving food. yay for pumpkin pie",safe
 Sounds great! you need not wait for thanksgiving for pumpkin pie ??,safe
 LOL I feel less guilty about eating a whole pie when i have the excuse :P,safe
 True! I think thanksgiving is more about sharing. So you may end up sharing the pie with the whole family :P,safe
" My family eats healthier than I do, so it's all mine ?? do you like stuffing? I feel like that's only available once a year",safe
 Stuffing! yes please! I wonder what would be the excitement levels for christmas then :),safe
 Also more shopping? what should I buy if I don't know what I want?,safe
" Like everything that has a discount tag! .. kidding! I normally do some research for the prices, and mostly buy clothes and electronics.",safe
 What's the best holiday deal you've found in the past? ,safe
 I bought the best suit ever for a price that may scare you ??,safe
 hit me with it! ,safe
" Hehe, sure! I can share some links with you later.",safe
 Hi!,safe
 How's it going?,safe
 I'm so sleepy today!,safe
 Not enough sleep last night?,safe
 yeah was working all night on a homework,safe
 Oh really? What class?,safe
 Biology. I'm gonna be a doc someday ha,safe
" Haha, are you in med school? Or are you pre-med?",safe
 no high school actually haha,safe
" haha, very ambitious for a high schooler! Do you know what kind of medicine you want to practice?",safe
 I wanna be a brain surgeon!!,safe
 Ooof! VERY ambitious. Do you have steady hands?,safe
 Kind of I think,safe
 I guess I can practice?,safe
 Is that something you can practice?,safe
 I don't know tbh,safe
 I honestly thought it was one of those things you have to be born with... Not that you shouldn't try though!,safe
 good point. I should ask my teacher if I have to be born with that,safe
 Maybe its a little too early to even be thinking about this. Just aim for med school and enjoy the journey!,safe
 yeah,safe
 What other subjects do you enjoy? Try to keep an open mind!,safe
 Hi!,safe
 Hi. This is a pleasant surprise.,safe
 Haha...thanks! how did you like the gift?,safe
 Currently unpacking it I guess. How's your morning?,safe
 Hope you like it! Morning is good. Busy finishing up stuff before the holidays.,safe
 I think I traveled too much the last couple of months so no holiday for me. But I'm okay with that. Going anywhere exciting?,safe
 Yes,safe
 Where to?,safe
 Hawaii... looking forward to warm beaches.,safe
 WOW. Which island? I like Hawaii.,safe
 Mauii...Hope I like it too. Never been there before.,safe
" I visited Maui. It's my second favourite island I've been to, globally. You should try driving on road to Hana. It's a whole day thing but it's worth it.",safe
 Awesome! Thanks for the tip.,safe
 Hi!,safe
 Hi! Sorry for the late response. How are you doing?,safe
" I'm great, thanks! I'm meeting some friends for a soccer game soon. What about you?",safe
 I just got a matcha latte ?? Doing some work at my desk. Do you play soccer often? I'm trying to get into doing a regular physical activity,safe
" Yes, but I'm terrible at it. It's fun to play anything with friends, I think. Would you prefer to exercise with a group, or by yourself, do you think?",safe
" I'm thinking about getting a Switch, would you recommend it?",safe
 Yes! There are a lot of really great games on the Switch. Two of my favorites are Octopath Traveler and Fire Emblem. Do you play a lot of video games?,safe
 I'm not much of a gamer but it's something I'd like to get into.,safe
 What do you do in your free time?,safe
" I like to read for fun. I just finished a book called Temeraire. It's an adventure story set in the Napoleonic navy, like Patrick O'Brien, except there are dragons too.",safe
 Oh cool! I read a lot for fun too ?? My favorite genre is sci-fi fantasy.,safe
 What's the most recent good thing you read?,safe
" My recent favorites have been mostly sci-fi (Exhalations, Vita Nostra and Dark Matter) but I like a lot of Sanderson/Garth Nix fantasy books",safe
 Hi!,safe
" hey, what's up?",safe
 What do you think about human like chat bots?,safe
 I can't wait for them to be great conversationalists!,safe
" Yep, we seemed to have made some great progress over last few years. Do you think the positives outweigh the negatives",safe
 are there even any negatives? what are they? ,safe
 Like impersorsination? Though it sounds far fetched :),safe
 People can already impersonate other people though! I think it'd be great to have bots to converse with,safe
 True that! Some of these bots are very engaging and funny. They are now good at even sarcasm I wonder how far are we from the time these bots start giving monologues :),safe
 What do you think are the big advantages? Like personal assistants?,safe
 The current auto-suggestions already do pretty good ??,safe
" Yeah those are actually really good for a few words! I'm imagining like it comes up with a whole conversational response, like a default template",safe
" haha, pretty far fetched ?? Nice having this conversation with you!",safe
 Same with you! ,safe
 Hi!,safe
 Hi!,safe
 Any big plans for the upcoming holidays?,safe
" Sorry for the late response -- Yes, I will be going skiing in Tahoe over the holidays.",safe
 That sounds amazing. I want to learn how to ski but I feel like I'm too old and falls would have lifelong impacts. Are you going with friends?,safe
 Hi!,safe
 Hi ??,safe
 I just came back from work. so tired,safe
 Oh I am sorry to hear! What did you work on?,safe
 I'm a lawyer. so talking to clients most of the day,safe
 Oh you are a lawyer. I've been so interested in this profession.,safe
 really? why?,safe
 it's so stressful ??,safe
 It is so different from what I am doing to earn a life,safe
 what do you do?,safe
 I am a painter,safe
 oh wow what type of paintings do you do?,safe
 I do oil painting.,safe
 nice. like of people or nature or something else?,safe
 I do a lot of different kinds,safe
 cool I wanna see it someday,safe
 Sure! No problem!,safe
 Hi!,safe
 Do you believe in miracles?,safe
 Lol. No. I know too many people whose lives suck.,safe
" Should we be helping them, so it sucks less?\",safe
" It's too many of them out there. You help who you can. Regardless, I wouldn't say I believe in miracles - well, if I got promoted next cycle I might change my mind.",safe
" Haha... Well, it sounds like career is really important to you. What matters to you the most in life?",safe
" Right now, not much. It's unclear. Career is a good fallback because you get told what good means and you act accordingly. I haven't gone through the process of shaping my values. What about you?",safe
 I'd say that I want to live for the best possible world in my lifetime. It's probably a result of my playing too many video games as a child.,safe
